Item,Price,Quantity,Notes,Link
Acrylic paint (yellow),$4.99,1.00,To paint the 3d printed parts,https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-21482/dp/B0012JHGC8
Acrylic paint (blue),$0.58,1.00,To paint the 3d printed parts,https://www.amazon.com/Apple-Barrel-Acrylic-Assorted-21482/dp/B00889ZA82
Total,$5.57,(taxes not included),,
things i am paying for myself,,,,
